OrderID,OrderDate,UserID
77,2022-01-01,216354
97,2022-01-02,239053
261,2022-01-02,209658
226,2022-01-07,230666
191,2022-01-09,188567
208,2022-01-13,195864
140,2022-01-13,197445
252,2022-01-16,226790
26,2022-01-16,192984
55,2022-01-18,201399
35,2022-01-19,186345
204,2022-01-19,210514
142,2022-01-23,212831
132,2022-01-23,202811
125,2022-01-24,158023
27,2022-01-26,177683
223,2022-01-26,153079
147,2022-01-26,220834
41,2022-01-28,207863
129,2022-01-30,201153
236,2022-01-31,211110
99,2022-01-31,230666
214,2022-02-01,215914
118,2022-02-01,207863
16,2022-02-01,143076
198,2022-02-03,216393
30,2022-02-05,188567
165,2022-02-07,193080
126,2022-02-10,209658
170,2022-02-10,205632
52,2022-02-11,177413
53,2022-02-12,189511
229,2022-02-12,232656
151,2022-02-16,200104
75,2022-02-17,199914
128,2022-02-19,213345
68,2022-02-20,209658
71,2022-02-20,183711
90,2022-02-22,212218
152,2022-02-22,201024
169,2022-02-23,195864
89,2022-02-23,184344
237,2022-02-23,200610
277,2022-02-23,193747
299,2022-02-24,138956
173,2022-02-24,185122
110,2022-02-25,197061
156,2022-02-25,168542
186,2022-02-25,199914
268,2022-02-26,167495
46,2022-03-03,199914
197,2022-03-05,225193
39,2022-03-08,232656
218,2022-03-08,189596
192,2022-03-09,209658
291,2022-03-10,231866
54,2022-03-11,235790
181,2022-03-12,203263
66,2022-03-13,216352
154,2022-03-14,197445
297,2022-03-17,209658
92,2022-03-18,210257
274,2022-03-18,184344
80,2022-03-19,192563
216,2022-03-19,214997
13,2022-03-19,209331
241,2022-03-19,200389
143,2022-03-21,220651
106,2022-03-25,153079
32,2022-03-25,231478
266,2022-03-26,197655
78,2022-03-27,234642
148,2022-03-27,223689
227,2022-03-28,152729
116,2022-03-30,197445
203,2022-04-02,204639
185,2022-04-03,168542
3,2022-04-03,242444
158,2022-04-03,184344
115,2022-04-04,211688
57,2022-04-05,220651
238,2022-04-06,228702
230,2022-04-07,206113
91,2022-04-09,216267
153,2022-04-10,193041
93,2022-04-10,189575
184,2022-04-12,135507
265,2022-04-14,184134
176,2022-04-14,235243
160,2022-04-14,202652
70,2022-04-16,218667
175,2022-04-17,183898
124,2022-04-18,216267
275,2022-04-19,204639
205,2022-04-20,204838
96,2022-04-22,235243
163,2022-04-24,175943
144,2022-04-25,205632
2,2022-04-25,231866
49,2022-04-25,184344
131,2022-04-26,193082
211,2022-04-27,225850
206,2022-04-28,233064
85,2022-04-28,200104
150,2022-04-29,177413
122,2022-05-01,216393
217,2022-05-03,152729
23,2022-05-03,190286
74,2022-05-07,152729
19,2022-05-07,216393
72,2022-05-08,213565
200,2022-05-09,210257
258,2022-05-09,183277
62,2022-05-12,204963
120,2022-05-15,168542
15,2022-05-16,225193
232,2022-05-16,230869
235,2022-05-17,199434
100,2022-05-18,199434
245,2022-05-19,205632
56,2022-05-19,231281
172,2022-05-20,220834
263,2022-05-20,192774
221,2022-05-22,208418
288,2022-05-22,41236
270,2022-05-26,198176
73,2022-05-27,210243
234,2022-06-01,178603
210,2022-06-04,237692
82,2022-06-08,213565
20,2022-06-09,213565
295,2022-06-10,146536
199,2022-06-10,235790
10,2022-06-13,200458
146,2022-06-14,242444
0,2022-06-14,207863
282,2022-06-16,226790
279,2022-06-17,206113
65,2022-06-20,200647
76,2022-06-21,222492
224,2022-06-22,192448
231,2022-06-23,209658
228,2022-06-25,209331
276,2022-06-26,188545
244,2022-06-28,230869
86,2022-07-02,232363
45,2022-07-03,228702
6,2022-07-04,193080
280,2022-07-04,213565
138,2022-07-06,41236
84,2022-07-08,192387
94,2022-07-08,231747
12,2022-07-09,239085
51,2022-07-12,208574
67,2022-07-13,203263
180,2022-07-13,208670
298,2022-07-14,192119
292,2022-07-14,179813
25,2022-07-15,200610
272,2022-07-16,169416
189,2022-07-16,210514
188,2022-07-22,224232
21,2022-07-24,210257
8,2022-07-24,180930
233,2022-07-25,179813
109,2022-07-26,180930
14,2022-07-26,193080
121,2022-07-31,206517
225,2022-08-01,189509
247,2022-08-02,216267
294,2022-08-02,216594
98,2022-08-03,211688
215,2022-08-04,216460
262,2022-08-04,180930
22,2022-08-06,178603
202,2022-08-07,200610
287,2022-08-07,218667
194,2022-08-11,201153
182,2022-08-15,20801
149,2022-08-16,190941
249,2022-08-17,230666
44,2022-08-19,232363
9,2022-08-20,231747
212,2022-08-21,200647
209,2022-08-26,200458
111,2022-08-27,235805
